Epoch Number,Max,Min,Mean,Std Dev
640,4,0,0.452,0.705469
641,4,0,0.452,0.705469
642,4,0,0.452,0.705469
643,4,0,0.452,0.705469
644,4,0,0.456,0.705731
645,4,0,0.456,0.705731
646,4,0,0.456,0.705731
647,4,0,0.456,0.705731
648,4,0,0.456,0.705731
649,4,0,0.456,0.705731
650,4,0,0.456,0.705731
651,4,0,0.456,0.705731
652,4,0,0.456,0.705731
653,4,0,0.456,0.705731
654,4,0,0.456,0.705731
655,4,0,0.456,0.705731
656,4,0,0.456,0.705731
657,4,0,0.456,0.705731
658,4,0,0.456,0.705731
659,4,0,0.456,0.705731
660,4,0,0.456,0.705731
661,4,0,0.456,0.705731
662,4,0,0.456,0.705731
663,4,0,0.456,0.705731
664,4,0,0.456,0.705731
665,4,0,0.456,0.705731
666,4,0,0.456,0.705731
667,4,0,0.456,0.705731
668,4,0,0.456,0.705731
669,4,0,0.456,0.705731
670,4,0,0.456,0.705731
671,4,0,0.456,0.705731
672,4,0,0.456,0.705731
673,4,0,0.456,0.705731
674,4,0,0.456,0.705731
675,4,0,0.46,0.711636
676,4,0,0.46,0.711636
677,4,0,0.46,0.711636
678,4,0,0.464,0.71185
679,4,0,0.468,0.712042
680,4,0,0.468,0.712042
681,4,0,0.468,0.712042
682,4,0,0.468,0.712042
683,4,0,0.468,0.712042
684,4,0,0.468,0.712042
685,4,0,0.468,0.712042
686,4,0,0.468,0.712042
687,4,0,0.468,0.712042
688,4,0,0.468,0.712042
689,4,0,0.468,0.712042
690,4,0,0.468,0.712042
691,4,0,0.468,0.712042
692,4,0,0.468,0.712042
693,4,0,0.468,0.712042
694,4,0,0.468,0.712042
695,4,0,0.468,0.712042
696,4,0,0.468,0.712042
697,4,0,0.468,0.712042
698,4,0,0.468,0.712042
699,4,0,0.468,0.712042
700,4,0,0.468,0.712042
701,4,0,0.468,0.712042
702,4,0,0.468,0.712042
703,4,0,0.468,0.712042
704,4,0,0.468,0.712042
705,4,0,0.468,0.712042
706,4,0,0.468,0.712042
707,4,0,0.468,0.712042
708,4,0,0.468,0.712042
709,4,0,0.468,0.712042
710,4,0,0.468,0.712042
711,4,0,0.468,0.712042
712,4,0,0.468,0.712042
713,4,0,0.468,0.712042
714,4,0,0.468,0.712042
715,4,0,0.468,0.712042
716,4,0,0.472,0.717828
717,4,0,0.472,0.717828
718,4,0,0.472,0.717828
719,4,0,0.472,0.717828
720,4,0,0.472,0.717828
721,4,0,0.472,0.717828
722,4,0,0.472,0.717828
723,4,0,0.472,0.717828
724,4,0,0.472,0.717828
725,4,0,0.472,0.717828
726,4,0,0.472,0.717828
727,4,0,0.472,0.717828
728,4,0,0.472,0.717828
729,4,0,0.476,0.717973
730,4,0,0.476,0.717973
731,4,0,0.48,0.723668
732,4,0,0.48,0.723668
733,4,0,0.48,0.723668
734,4,0,0.48,0.723668
735,4,0,0.484,0.723767
736,4,0,0.488,0.734858
737,4,0,0.492,0.751128
738,4,0,0.492,0.751128
739,4,0,0.492,0.751128
740,4,0,0.492,0.751128
741,4,0,0.492,0.751128
742,4,0,0.492,0.751128
743,4,0,0.492,0.751128
744,4,0,0.492,0.751128
745,4,0,0.492,0.751128
